Date,Vendor,Name,Quantity,Price,Category,Payment method
2023-10-01,Countdown,Apple Simply Red Md,1,1.8,groceries,other
2023-10-01,Countdown,Mini Square Cheese& Chive 8pk,1,3.84,groceries,other
2023-10-01,Countdown,Brioche Sliders 8pk,1,3.0,groceries,other
2023-10-01,Countdown,Paseo 3 Ply T/tissue 24pk Value,1,15.0,supplies,other
2023-10-01,Countdown,Free From Lactose Lite Milk 1 L,1,3.5,groceries,other
2023-10-01,Countdown,Countdown Eggs Barn Size 7 12pk,1,9.5,groceries,other
2023-10-01,Countdown,Countdown Ice Cream Vanilla 2L,1,6.3,groceries,other
2023-10-01,Countdown,Equal Fresh Lean Meat 500g,1,6.55,groceries,other
2023-10-01,Countdown,WW Frozen Chicken Nuggets Battered 1kg,1,11.0,groceries,other
2023-10-01,Countdown,Asparagus Bunch NZ,1,1.99,groceries,other
2023-10-01,Countdown,Westgold Butter Unsalted 400G,1,6.2,groceries,other
2023-10-01,Countdown,Dove Bar Regular 4x90g,1,3.49,groceries,other
2023-10-01,Countdown,Mars Bar 47g,1,1.0,groceries,other
2023-10-01,Countdown,Hrtland Potato Chpssthrn Salt 150g,2,4.6,groceries,other
